id,isp_name,is_oversea
1293,互联网服务商联盟,0
1294,飞华领航,0
1295,TelBru,1
1296,亚太环通,0
1297,香港有线电视,0
1298,盈通网络,0
1299,中国电信（香港）,0
1300,光通互联,0
1301,KDB,1
1302,Shinhan,1
1303,HanaBank,1
1304,Woorifis,1
1305,财政部,0
1306,研考会,0
1307,大大宽频,0
1308,和宇宽频,0
1309,中嘉和网,0
1310,KCN,1
1311,SejongTel,1
1312,abcle,1
1313,JCN,1
1314,KCNTV,1
1315,Rakuten,1
1316,百度,0
1317,优酷土豆,0
1318,FirstMedia,1
1319,DYXnet,0
1320,GEANT,1
1321,Kabelplus,1
1322,Delta,1
1323,Gilat,1
1324,CountyBroadband,1
1325,PTisp,1
1326,NIKS,1
1327,RUNNet,1
1328,Rusonyx,1
1329,CITIC,1
1330,Halkbank,1
1331,VOO,1
1332,GlobalCloudXchange,1
1333,Farlep,1
1334,Cityfibre,1
1335,DataPipe,1
1336,Allstream,1
1337,ClaroPR,1
1338,Adobe,1
1339,ngena,1
1340,CDK Global,1
1341,JAB,1
1342,VerisignDNS,1
1343,VeriSign,1
1344,MegaPath,1
1345,Switch,1
1346,OpenText,1
1347,Datacom,1
1348,NDTC,1
1349,Consolidated,1
1350,Ntirety,1
1351,SDN,1
1352,Telx,1
1353,加利福尼亚州立大学,1
1354,TeraGo,1
1355,Masergy,1
1356,Inteliquent,1
1357,Segra,1
1358,加州大学旧金山分校,1
1359,佛罗里达州立大学,1
1360,明尼苏达大学,1
1361,easyDNS,1
1362,Transtelco,1
1363,WiLine,1
1364,Affinity,1
1365,Finastra,1
1366,DreamHost,1
1367,Plateautel,1
1368,MassiveNetworks,1
1369,Illinois,1
1370,SaskTel,1
1371,ManagedWay,1
1372,Nuvera,1
1373,StackPath,1
1374,NexGen,1
1375,GeoLinks,1
1376,Apogee,1
1377,CableOnda,1
1378,BCE,1
1379,CyrusOne,1
1380,OARnet,1
1381,Vision,1
1382,Afilias,1
1383,Cwdom,1
1384,Hurricane,1
1385,DmitCloud,0
1386,Panhandle,1
1387,哈佛大学,1
1388,XO,1
1389,RCOM,1
1390,Cologix,1
1391,HopOne,1
1392,Aureon,1
1393,GwHostingLabs,1
1394,Chess,1
1395,McDonalds,1
1396,Krypt,1
1397,HEDNS,1
1398,SCTG,1
1399,FiberAlley,1
